municipio_codigo;municipio_nombre;sexo;nacionalidad_de_la_madre;numero_nacimientos
042; Colmenar del Arroyo;Mujer;América Central y del Caribe;0
042; Colmenar del Arroyo;Mujer;América del Norte;0
042; Colmenar del Arroyo;Mujer;América del Sur;1
042; Colmenar del Arroyo;Mujer;Apátridas;0
042; Colmenar del Arroyo;Mujer;Asia;0
042; Colmenar del Arroyo;Mujer;No consta;0
042; Colmenar del Arroyo;Mujer;Oceanía;0
042; Colmenar del Arroyo;Mujer;Otros países de América;0
042; Colmenar del Arroyo;Mujer;Otros países de Europa;0
042; Colmenar del Arroyo;Mujer;Unión Europea;6
045; Colmenar Viejo;Hombre;África;13
045; Colmenar Viejo;Hombre;América Central y del Caribe;5
045; Colmenar Viejo;Hombre;América del Norte;0
045; Colmenar Viejo;Hombre;América del Sur;15
045; Colmenar Viejo;Hombre;Apátridas;0
045; Colmenar Viejo;Hombre;Asia;3
045; Colmenar Viejo;Hombre;No consta;0
045; Colmenar Viejo;Hombre;Oceanía;0
045; Colmenar Viejo;Hombre;Otros países de América;0
045; Colmenar Viejo;Hombre;Otros países de Europa;1
045; Colmenar Viejo;Hombre;Unión Europea;191
045; Colmenar Viejo;Mujer;África;18
045; Colmenar Viejo;Mujer;América Central y del Caribe;4
045; Colmenar Viejo;Mujer;América del Norte;0
045; Colmenar Viejo;Mujer;América del Sur;21
045; Colmenar Viejo;Mujer;Apátridas;0
045; Colmenar Viejo;Mujer;Asia;7
045; Colmenar Viejo;Mujer;No consta;0
045; Colmenar Viejo;Mujer;Oceanía;0
045; Colmenar Viejo;Mujer;Otros países de América;0
045; Colmenar Viejo;Mujer;Otros países de Europa;0
045; Colmenar Viejo;Mujer;Unión Europea;213
044; Colmenarejo;Hombre;África;3
044; Colmenarejo;Hombre;América Central y del Caribe;0
044; Colmenarejo;Hombre;América del Norte;0
044; Colmenarejo;Hombre;América del Sur;0
044; Colmenarejo;Hombre;Apátridas;0
044; Colmenarejo;Hombre;Asia;0
044; Colmenarejo;Hombre;No consta;0
044; Colmenarejo;Hombre;Oceanía;0
044; Colmenarejo;Hombre;Otros países de América;0
044; Colmenarejo;Hombre;Otros países de Europa;0
044; Colmenarejo;Hombre;Unión Europea;24
044; Colmenarejo;Mujer;África;2
044; Colmenarejo;Mujer;América Central y del Caribe;0
044; Colmenarejo;Mujer;América del Norte;0
044; Colmenarejo;Mujer;América del Sur;1
044; Colmenarejo;Mujer;Apátridas;0
044; Colmenarejo;Mujer;Asia;0
044; Colmenarejo;Mujer;No consta;0
044; Colmenarejo;Mujer;Oceanía;0
044; Colmenarejo;Mujer;Otros países de América;0
044; Colmenarejo;Mujer;Otros países de Europa;1
044; Colmenarejo;Mujer;Unión Europea;35
048; Corpa;Hombre;África;0
048; Corpa;Hombre;América Central y del Caribe;0
048; Corpa;Hombre;América del Norte;0
048; Corpa;Hombre;América del Sur;0
048; Corpa;Hombre;Apátridas;0
048; Corpa;Hombre;Asia;0
048; Corpa;Hombre;No consta;0
048; Corpa;Hombre;Oceanía;0
048; Corpa;Hombre;Otros países de América;0
048; Corpa;Hombre;Otros países de Europa;0
048; Corpa;Hombre;Unión Europea;2
048; Corpa;Mujer;África;0
048; Corpa;Mujer;América Central y del Caribe;0
048; Corpa;Mujer;América del Norte;0
048; Corpa;Mujer;América del Sur;0
048; Corpa;Mujer;Apátridas;0
048; Corpa;Mujer;Asia;0
048; Corpa;Mujer;No consta;0
048; Corpa;Mujer;Oceanía;0
048; Corpa;Mujer;Otros países de América;0
048; Corpa;Mujer;Otros países de Europa;0
048; Corpa;Mujer;Unión Europea;2
049; Coslada;Hombre;África;7
049; Coslada;Hombre;América Central y del Caribe;3
049; Coslada;Hombre;América del Norte;1
049; Coslada;Hombre;América del Sur;8
049; Coslada;Hombre;Apátridas;0
049; Coslada;Hombre;Asia;3
049; Coslada;Hombre;No consta;0
049; Coslada;Hombre;Oceanía;0
049; Coslada;Hombre;Otros países de América;0
049; Coslada;Hombre;Otros países de Europa;1
049; Coslada;Hombre;Unión Europea;316
049; Coslada;Mujer;África;2
049; Coslada;Mujer;América Central y del Caribe;1
049; Coslada;Mujer;América del Norte;1
049; Coslada;Mujer;América del Sur;3
049; Coslada;Mujer;Apátridas;0
049; Coslada;Mujer;Asia;2
049; Coslada;Mujer;No consta;0
049; Coslada;Mujer;Oceanía;0
049; Coslada;Mujer;Otros países de América;0
049; Coslada;Mujer;Otros países de Europa;1
049; Coslada;Mujer;Unión Europea;302
050; Cubas de la Sagra;Hombre;África;0
050; Cubas de la Sagra;Hombre;América Central y del Caribe;0
050; Cubas de la Sagra;Hombre;América del Norte;0
050; Cubas de la Sagra;Hombre;América del Sur;1
050; Cubas de la Sagra;Hombre;Apátridas;0
050; Cubas de la Sagra;Hombre;Asia;0
050; Cubas de la Sagra;Hombre;No consta;0
050; Cubas de la Sagra;Hombre;Oceanía;0
050; Cubas de la Sagra;Hombre;Otros países de América;0
050; Cubas de la Sagra;Hombre;Otros países de Europa;0
050; Cubas de la Sagra;Hombre;Unión Europea;27
050; Cubas de la Sagra;Mujer;África;2
050; Cubas de la Sagra;Mujer;América Central y del Caribe;1
050; Cubas de la Sagra;Mujer;América del Norte;0
050; Cubas de la Sagra;Mujer;América del Sur;0
050; Cubas de la Sagra;Mujer;Apátridas;0
050; Cubas de la Sagra;Mujer;Asia;0
050; Cubas de la Sagra;Mujer;No consta;0
050; Cubas de la Sagra;Mujer;Oceanía;0
050; Cubas de la Sagra;Mujer;Otros países de América;0
050; Cubas de la Sagra;Mujer;Otros países de Europa;0
050; Cubas de la Sagra;Mujer;Unión Europea;32
053; Daganzo de Arriba;Hombre;África;2
053; Daganzo de Arriba;Hombre;América Central y del Caribe;0
053; Daganzo de Arriba;Hombre;América del Norte;0
053; Daganzo de Arriba;Hombre;América del Sur;0
053; Daganzo de Arriba;Hombre;Apátridas;0
053; Daganzo de Arriba;Hombre;Asia;0
053; Daganzo de Arriba;Hombre;No consta;0
053; Daganzo de Arriba;Hombre;Oceanía;0
053; Daganzo de Arriba;Hombre;Otros países de América;0
053; Daganzo de Arriba;Hombre;Otros países de Europa;1
053; Daganzo de Arriba;Hombre;Unión Europea;39
053; Daganzo de Arriba;Mujer;África;1
053; Daganzo de Arriba;Mujer;América Central y del Caribe;0
053; Daganzo de Arriba;Mujer;América del Norte;0
053; Daganzo de Arriba;Mujer;América del Sur;2
053; Daganzo de Arriba;Mujer;Apátridas;0
053; Daganzo de Arriba;Mujer;Asia;0
053; Daganzo de Arriba;Mujer;No consta;0
053; Daganzo de Arriba;Mujer;Oceanía;0
053; Daganzo de Arriba;Mujer;Otros países de América;0
053; Daganzo de Arriba;Mujer;Otros países de Europa;0
053; Daganzo de Arriba;Mujer;Unión Europea;37
054; Escorial (El);Hombre;África;1
054; Escorial (El);Hombre;América Central y del Caribe;0
054; Escorial (El);Hombre;América del Norte;0
054; Escorial (El);Hombre;América del Sur;2
054; Escorial (El);Hombre;Apátridas;0
054; Escorial (El);Hombre;Asia;0
054; Escorial (El);Hombre;No consta;0
054; Escorial (El);Hombre;Oceanía;0
054; Escorial (El);Hombre;Otros países de América;0
054; Escorial (El);Hombre;Otros países de Europa;1
054; Escorial (El);Hombre;Unión Europea;62
054; Escorial (El);Mujer;África;2
054; Escorial (El);Mujer;América Central y del Caribe;0
054; Escorial (El);Mujer;América del Norte;0
054; Escorial (El);Mujer;América del Sur;4
054; Escorial (El);Mujer;Apátridas;0
054; Escorial (El);Mujer;Asia;0
054; Escorial (El);Mujer;No consta;0
054; Escorial (El);Mujer;Oceanía;0
054; Escorial (El);Mujer;Otros países de América;0
054; Escorial (El);Mujer;Otros países de Europa;1
054; Escorial (El);Mujer;Unión Europea;58
055; Estremera;Hombre;África;0
055; Estremera;Hombre;América Central y del Caribe;0
055; Estremera;Hombre;América del Norte;0
055; Estremera;Hombre;América del Sur;0
055; Estremera;Hombre;Apátridas;0
055; Estremera;Hombre;Asia;0
055; Estremera;Hombre;No consta;0
055; Estremera;Hombre;Oceanía;0
055; Estremera;Hombre;Otros países de América;0
055; Estremera;Hombre;Otros países de Europa;0
055; Estremera;Hombre;Unión Europea;0
055; Estremera;Mujer;África;0
055; Estremera;Mujer;América Central y del Caribe;0
055; Estremera;Mujer;América del Norte;0
055; Estremera;Mujer;América del Sur;1
055; Estremera;Mujer;Apátridas;0
055; Estremera;Mujer;Asia;0
055; Estremera;Mujer;No consta;0
055; Estremera;Mujer;Oceanía;0
055; Estremera;Mujer;Otros países de América;0
055; Estremera;Mujer;Otros países de Europa;0
055; Estremera;Mujer;Unión Europea;4
056; Fresnedillas de la Oliva;Hombre;África;3
056; Fresnedillas de la Oliva;Hombre;América Central y del Caribe;0
056; Fresnedillas de la Oliva;Hombre;América del Norte;0
056; Fresnedillas de la Oliva;Hombre;América del Sur;0
056; Fresnedillas de la Oliva;Hombre;Apátridas;0
056; Fresnedillas de la Oliva;Hombre;Asia;0
056; Fresnedillas de la Oliva;Hombre;No consta;0
056; Fresnedillas de la Oliva;Hombre;Oceanía;0
056; Fresnedillas de la Oliva;Hombre;Otros países de América;0
056; Fresnedillas de la Oliva;Hombre;Otros países de Europa;0
056; Fresnedillas de la Oliva;Hombre;Unión Europea;1
056; Fresnedillas de la Oliva;Mujer;África;2
056; Fresnedillas de la Oliva;Mujer;América Central y del Caribe;0
056; Fresnedillas de la Oliva;Mujer;América del Norte;0
056; Fresnedillas de la Oliva;Mujer;América del Sur;0
056; Fresnedillas de la Oliva;Mujer;Apátridas;0
056; Fresnedillas de la Oliva;Mujer;Asia;0
056; Fresnedillas de la Oliva;Mujer;No consta;0
056; Fresnedillas de la Oliva;Mujer;Oceanía;0
056; Fresnedillas de la Oliva;Mujer;Otros países de América;0
056; Fresnedillas de la Oliva;Mujer;Otros países de Europa;0
056; Fresnedillas de la Oliva;Mujer;Unión Europea;4
057; Fresno de Torote;Hombre;África;0
057; Fresno de Torote;Hombre;América Central y del Caribe;0
057; Fresno de Torote;Hombre;América del Norte;0
057; Fresno de Torote;Hombre;América del Sur;0
057; Fresno de Torote;Hombre;Apátridas;0
057; Fresno de Torote;Hombre;Asia;0
057; Fresno de Torote;Hombre;No consta;0
057; Fresno de Torote;Hombre;Oceanía;0
057; Fresno de Torote;Hombre;Otros países de América;0
057; Fresno de Torote;Hombre;Otros países de Europa;0
057; Fresno de Torote;Hombre;Unión Europea;7
057; Fresno de Torote;Mujer;África;0
057; Fresno de Torote;Mujer;América Central y del Caribe;0
057; Fresno de Torote;Mujer;América del Norte;0
057; Fresno de Torote;Mujer;América del Sur;0
057; Fresno de Torote;Mujer;Apátridas;0
057; Fresno de Torote;Mujer;Asia;0
057; Fresno de Torote;Mujer;No consta;0
057; Fresno de Torote;Mujer;Oceanía;0
057; Fresno de Torote;Mujer;Otros países de América;0
057; Fresno de Torote;Mujer;Otros países de Europa;1
057; Fresno de Torote;Mujer;Unión Europea;11
058; Fuenlabrada;Hombre;África;86
058; Fuenlabrada;Hombre;América Central y del Caribe;10
058; Fuenlabrada;Hombre;América del Norte;1
058; Fuenlabrada;Hombre;América del Sur;23
058; Fuenlabrada;Hombre;Apátridas;0
058; Fuenlabrada;Hombre;Asia;9
058; Fuenlabrada;Hombre;No consta;0
058; Fuenlabrada;Hombre;Oceanía;0
058; Fuenlabrada;Hombre;Otros países de América;0
058; Fuenlabrada;Hombre;Otros países de Europa;4
058; Fuenlabrada;Hombre;Unión Europea;726
058; Fuenlabrada;Mujer;África;73
058; Fuenlabrada;Mujer;América Central y del Caribe;7
058; Fuenlabrada;Mujer;América del Norte;0
058; Fuenlabrada;Mujer;América del Sur;27
058; Fuenlabrada;Mujer;Apátridas;0
058; Fuenlabrada;Mujer;Asia;7
058; Fuenlabrada;Mujer;No consta;0
058; Fuenlabrada;Mujer;Oceanía;0
058; Fuenlabrada;Mujer;Otros países de América;0
058; Fuenlabrada;Mujer;Otros países de Europa;7
058; Fuenlabrada;Mujer;Unión Europea;697
059; Fuente el Saz de Jarama;Hombre;África;5
059; Fuente el Saz de Jarama;Hombre;América Central y del Caribe;0
059; Fuente el Saz de Jarama;Hombre;América del Norte;0
059; Fuente el Saz de Jarama;Hombre;América del Sur;1
059; Fuente el Saz de Jarama;Hombre;Apátridas;0
059; Fuente el Saz de Jarama;Hombre;Asia;1
059; Fuente el Saz de Jarama;Hombre;No consta;0
059; Fuente el Saz de Jarama;Hombre;Oceanía;0
059; Fuente el Saz de Jarama;Hombre;Otros países de América;0
059; Fuente el Saz de Jarama;Hombre;Otros países de Europa;0
059; Fuente el Saz de Jarama;Hombre;Unión Europea;27
059; Fuente el Saz de Jarama;Mujer;África;2
059; Fuente el Saz de Jarama;Mujer;América Central y del Caribe;1
059; Fuente el Saz de Jarama;Mujer;América del Norte;0
059; Fuente el Saz de Jarama;Mujer;América del Sur;0
059; Fuente el Saz de Jarama;Mujer;Apátridas;0
059; Fuente el Saz de Jarama;Mujer;Asia;1
059; Fuente el Saz de Jarama;Mujer;No consta;0
059; Fuente el Saz de Jarama;Mujer;Oceanía;0
059; Fuente el Saz de Jarama;Mujer;Otros países de América;0
059; Fuente el Saz de Jarama;Mujer;Otros países de Europa;0
059; Fuente el Saz de Jarama;Mujer;Unión Europea;15
060; Fuentidueña de Tajo;Hombre;África;0
060; Fuentidueña de Tajo;Hombre;América Central y del Caribe;0
060; Fuentidueña de Tajo;Hombre;América del Norte;0
060; Fuentidueña de Tajo;Hombre;América del Sur;0
060; Fuentidueña de Tajo;Hombre;Apátridas;0
060; Fuentidueña de Tajo;Hombre;Asia;0
060; Fuentidueña de Tajo;Hombre;No consta;0
060; Fuentidueña de Tajo;Hombre;Oceanía;0
060; Fuentidueña de Tajo;Hombre;Otros países de América;0
060; Fuentidueña de Tajo;Hombre;Otros países de Europa;0
060; Fuentidueña de Tajo;Hombre;Unión Europea;9
060; Fuentidueña de Tajo;Mujer;África;0
060; Fuentidueña de Tajo;Mujer;América Central y del Caribe;0
060; Fuentidueña de Tajo;Mujer;América del Norte;0
060; Fuentidueña de Tajo;Mujer;América del Sur;0
060; Fuentidueña de Tajo;Mujer;Apátridas;0
060; Fuentidueña de Tajo;Mujer;Asia;0
060; Fuentidueña de Tajo;Mujer;No consta;0
060; Fuentidueña de Tajo;Mujer;Oceanía;0
060; Fuentidueña de Tajo;Mujer;Otros países de América;0
060; Fuentidueña de Tajo;Mujer;Otros países de Europa;0
060; Fuentidueña de Tajo;Mujer;Unión Europea;7
061; Galapagar;Hombre;África;21
061; Galapagar;Hombre;América Central y del Caribe;3
061; Galapagar;Hombre;América del Norte;2
061; Galapagar;Hombre;América del Sur;10
061; Galapagar;Hombre;Apátridas;0
061; Galapagar;Hombre;Asia;3
061; Galapagar;Hombre;No consta;0
061; Galapagar;Hombre;Oceanía;0
061; Galapagar;Hombre;Otros países de América;0
061; Galapagar;Hombre;Otros países de Europa;2
061; Galapagar;Hombre;Unión Europea;125
061; Galapagar;Mujer;África;14
061; Galapagar;Mujer;América Central y del Caribe;1
061; Galapagar;Mujer;América del Norte;0
061; Galapagar;Mujer;América del Sur;9
061; Galapagar;Mujer;Apátridas;0
061; Galapagar;Mujer;Asia;2
061; Galapagar;Mujer;No consta;0
061; Galapagar;Mujer;Oceanía;0
061; Galapagar;Mujer;Otros países de América;0
061; Galapagar;Mujer;Otros países de Europa;1
061; Galapagar;Mujer;Unión Europea;107
062; Garganta de los Montes;Hombre;África;0
062; Garganta de los Montes;Hombre;América Central y del Caribe;0
062; Garganta de los Montes;Hombre;América del Norte;0
062; Garganta de los Montes;Hombre;América del Sur;0
062; Garganta de los Montes;Hombre;Apátridas;0
062; Garganta de los Montes;Hombre;Asia;0
062; Garganta de los Montes;Hombre;No consta;0
062; Garganta de los Montes;Hombre;Oceanía;0
062; Garganta de los Montes;Hombre;Otros países de América;0
062; Garganta de los Montes;Hombre;Otros países de Europa;0
062; Garganta de los Montes;Hombre;Unión Europea;0
062; Garganta de los Montes;Mujer;África;0
062; Garganta de los Montes;Mujer;América Central y del Caribe;0
062; Garganta de los Montes;Mujer;América del Norte;0
062; Garganta de los Montes;Mujer;América del Sur;0
062; Garganta de los Montes;Mujer;Apátridas;0
062; Garganta de los Montes;Mujer;Asia;0
062; Garganta de los Montes;Mujer;No consta;0
062; Garganta de los Montes;Mujer;Oceanía;0
062; Garganta de los Montes;Mujer;Otros países de América;0
062; Garganta de los Montes;Mujer;Otros países de Europa;0
062; Garganta de los Montes;Mujer;Unión Europea;1
063; Gargantilla del Lozoya y Pinilla de Buitrago;Hombre;África;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Hombre;América Central y del Caribe;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Hombre;América del Norte;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Hombre;América del Sur;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Hombre;Apátridas;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Hombre;Asia;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Hombre;No consta;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Hombre;Oceanía;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Hombre;Otros países de América;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Hombre;Otros países de Europa;1
063; Gargantilla del Lozoya y Pinilla de Buitrago;Hombre;Unión Europea;2
063; Gargantilla del Lozoya y Pinilla de Buitrago;Mujer;África;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Mujer;América Central y del Caribe;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Mujer;América del Norte;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Mujer;América del Sur;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Mujer;Apátridas;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Mujer;Asia;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Mujer;No consta;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Mujer;Oceanía;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Mujer;Otros países de América;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Mujer;Otros países de Europa;0
063; Gargantilla del Lozoya y Pinilla de Buitrago;Mujer;Unión Europea;0
064; Gascones;Hombre;África;0
064; Gascones;Hombre;América Central y del Caribe;0
064; Gascones;Hombre;América del Norte;0
064; Gascones;Hombre;América del Sur;0
064; Gascones;Hombre;Apátridas;0
064; Gascones;Hombre;Asia;0
064; Gascones;Hombre;No consta;0
064; Gascones;Hombre;Oceanía;0
064; Gascones;Hombre;Otros países de América;0
064; Gascones;Hombre;Otros países de Europa;0
064; Gascones;Hombre;Unión Europea;1
064; Gascones;Mujer;África;0
064; Gascones;Mujer;América Central y del Caribe;0
064; Gascones;Mujer;América del Norte;0
064; Gascones;Mujer;América del Sur;0
064; Gascones;Mujer;Apátridas;0
064; Gascones;Mujer;Asia;0
064; Gascones;Mujer;No consta;0
064; Gascones;Mujer;Oceanía;0
064; Gascones;Mujer;Otros países de América;0
064; Gascones;Mujer;Otros países de Europa;0
064; Gascones;Mujer;Unión Europea;1
065; Getafe;Hombre;África;51
065; Getafe;Hombre;América Central y del Caribe;10
065; Getafe;Hombre;América del Norte;0
065; Getafe;Hombre;América del Sur;42
065; Getafe;Hombre;Apátridas;0
065; Getafe;Hombre;Asia;22
065; Getafe;Hombre;No consta;0
065; Getafe;Hombre;Oceanía;0
065; Getafe;Hombre;Otros países de América;0
065; Getafe;Hombre;Otros países de Europa;9
065; Getafe;Hombre;Unión Europea;821
065; Getafe;Mujer;África;61
065; Getafe;Mujer;América Central y del Caribe;7
065; Getafe;Mujer;América del Norte;3
065; Getafe;Mujer;América del Sur;35
065; Getafe;Mujer;Apátridas;0
065; Getafe;Mujer;Asia;16
065; Getafe;Mujer;No consta;0
065; Getafe;Mujer;Oceanía;0
065; Getafe;Mujer;Otros países de América;0
065; Getafe;Mujer;Otros países de Europa;14
065; Getafe;Mujer;Unión Europea;820
066; Griñón;Hombre;África;2
066; Griñón;Hombre;América Central y del Caribe;0
066; Griñón;Hombre;América del Norte;0
066; Griñón;Hombre;América del Sur;1
066; Griñón;Hombre;Apátridas;0
066; Griñón;Hombre;Asia;0
066; Griñón;Hombre;No consta;0
066; Griñón;Hombre;Oceanía;0
066; Griñón;Hombre;Otros países de América;0
066; Griñón;Hombre;Otros países de Europa;0
066; Griñón;Hombre;Unión Europea;38
066; Griñón;Mujer;África;0
066; Griñón;Mujer;América Central y del Caribe;0
066; Griñón;Mujer;América del Norte;0
066; Griñón;Mujer;América del Sur;1
066; Griñón;Mujer;Apátridas;0
066; Griñón;Mujer;Asia;1
066; Griñón;Mujer;No consta;0
066; Griñón;Mujer;Oceanía;0
066; Griñón;Mujer;Otros países de América;0
066; Griñón;Mujer;Otros países de Europa;0
066; Griñón;Mujer;Unión Europea;28
067; Guadalix de la Sierra;Hombre;África;0
067; Guadalix de la Sierra;Hombre;América Central y del Caribe;2
067; Guadalix de la Sierra;Hombre;América del Norte;0
067; Guadalix de la Sierra;Hombre;América del Sur;2
067; Guadalix de la Sierra;Hombre;Apátridas;0
067; Guadalix de la Sierra;Hombre;Asia;0
067; Guadalix de la Sierra;Hombre;No consta;0
067; Guadalix de la Sierra;Hombre;Oceanía;0
067; Guadalix de la Sierra;Hombre;Otros países de América;0
067; Guadalix de la Sierra;Hombre;Otros países de Europa;0
067; Guadalix de la Sierra;Hombre;Unión Europea;27
067; Guadalix de la Sierra;Mujer;África;1
067; Guadalix de la Sierra;Mujer;América Central y del Caribe;0
067; Guadalix de la Sierra;Mujer;América del Norte;0
067; Guadalix de la Sierra;Mujer;América del Sur;0
067; Guadalix de la Sierra;Mujer;Apátridas;0
067; Guadalix de la Sierra;Mujer;Asia;0
067; Guadalix de la Sierra;Mujer;No consta;0
067; Guadalix de la Sierra;Mujer;Oceanía;0
067; Guadalix de la Sierra;Mujer;Otros países de América;0
067; Guadalix de la Sierra;Mujer;Otros países de Europa;0
067; Guadalix de la Sierra;Mujer;Unión Europea;22
068; Guadarrama;Hombre;África;5
068; Guadarrama;Hombre;América Central y del Caribe;0
068; Guadarrama;Hombre;América del Norte;1
068; Guadarrama;Hombre;América del Sur;2
068; Guadarrama;Hombre;Apátridas;0
068; Guadarrama;Hombre;Asia;1
068; Guadarrama;Hombre;No consta;0
068; Guadarrama;Hombre;Oceanía;0
068; Guadarrama;Hombre;Otros países de América;0
068; Guadarrama;Hombre;Otros países de Europa;1
068; Guadarrama;Hombre;Unión Europea;67
068; Guadarrama;Mujer;África;6
068; Guadarrama;Mujer;América Central y del Caribe;0
068; Guadarrama;Mujer;América del Norte;0
068; Guadarrama;Mujer;América del Sur;1
068; Guadarrama;Mujer;Apátridas;0
068; Guadarrama;Mujer;Asia;0
068; Guadarrama;Mujer;No consta;0
068; Guadarrama;Mujer;Oceanía;0
068; Guadarrama;Mujer;Otros países de América;0
068; Guadarrama;Mujer;Otros países de Europa;0
068; Guadarrama;Mujer;Unión Europea;48
069; Hiruela (La);Hombre;África;0
069; Hiruela (La);Hombre;América Central y del Caribe;0
069; Hiruela (La);Hombre;América del Norte;0
069; Hiruela (La);Hombre;América del Sur;0
069; Hiruela (La);Hombre;Apátridas;0
069; Hiruela (La);Hombre;Asia;0
069; Hiruela (La);Hombre;No consta;0
069; Hiruela (La);Hombre;Oceanía;0
069; Hiruela (La);Hombre;Otros países de América;0
069; Hiruela (La);Hombre;Otros países de Europa;0
069; Hiruela (La);Hombre;Unión Europea;0
069; Hiruela (La);Mujer;África;0
069; Hiruela (La);Mujer;América Central y del Caribe;0
069; Hiruela (La);Mujer;América del Norte;0
069; Hiruela (La);Mujer;América del Sur;0
069; Hiruela (La);Mujer;Apátridas;0
069; Hiruela (La);Mujer;Asia;0
069; Hiruela (La);Mujer;No consta;0
069; Hiruela (La);Mujer;Oceanía;0
069; Hiruela (La);Mujer;Otros países de América;0
069; Hiruela (La);Mujer;Otros países de Europa;0
069; Hiruela (La);Mujer;Unión Europea;0
070; Horcajo de la Sierra;Hombre;África;0
070; Horcajo de la Sierra;Hombre;América Central y del Caribe;0
070; Horcajo de la Sierra;Hombre;América del Norte;0
070; Horcajo de la Sierra;Hombre;América del Sur;0
070; Horcajo de la Sierra;Hombre;Apátridas;0
070; Horcajo de la Sierra;Hombre;Asia;0
070; Horcajo de la Sierra;Hombre;No consta;0
070; Horcajo de la Sierra;Hombre;Oceanía;0
070; Horcajo de la Sierra;Hombre;Otros países de América;0
070; Horcajo de la Sierra;Hombre;Otros países de Europa;0
070; Horcajo de la Sierra;Hombre;Unión Europea;0
070; Horcajo de la Sierra;Mujer;África;0
070; Horcajo de la Sierra;Mujer;América Central y del Caribe;0
070; Horcajo de la Sierra;Mujer;América del Norte;0
070; Horcajo de la Sierra;Mujer;América del Sur;0
070; Horcajo de la Sierra;Mujer;Apátridas;0
070; Horcajo de la Sierra;Mujer;Asia;0
070; Horcajo de la Sierra;Mujer;No consta;0
070; Horcajo de la Sierra;Mujer;Oceanía;0
070; Horcajo de la Sierra;Mujer;Otros países de América;0
070; Horcajo de la Sierra;Mujer;Otros países de Europa;0
070; Horcajo de la Sierra;Mujer;Unión Europea;0
071; Horcajuelo de la Sierra;Hombre;África;0
071; Horcajuelo de la Sierra;Hombre;América Central y del Caribe;0
071; Horcajuelo de la Sierra;Hombre;América del Norte;0
071; Horcajuelo de la Sierra;Hombre;América del Sur;0
071; Horcajuelo de la Sierra;Hombre;Apátridas;0
071; Horcajuelo de la Sierra;Hombre;Asia;0
071; Horcajuelo de la Sierra;Hombre;No consta;0
071; Horcajuelo de la Sierra;Hombre;Oceanía;0
071; Horcajuelo de la Sierra;Hombre;Otros países de América;0
071; Horcajuelo de la Sierra;Hombre;Otros países de Europa;0
071; Horcajuelo de la Sierra;Hombre;Unión Europea;0
071; Horcajuelo de la Sierra;Mujer;África;0
071; Horcajuelo de la Sierra;Mujer;América Central y del Caribe;0
071; Horcajuelo de la Sierra;Mujer;América del Norte;0
071; Horcajuelo de la Sierra;Mujer;América del Sur;0
071; Horcajuelo de la Sierra;Mujer;Apátridas;0
071; Horcajuelo de la Sierra;Mujer;Asia;0
071; Horcajuelo de la Sierra;Mujer;No consta;0
071; Horcajuelo de la Sierra;Mujer;Oceanía;0
071; Horcajuelo de la Sierra;Mujer;Otros países de América;0
071; Horcajuelo de la Sierra;Mujer;Otros países de Europa;0
071; Horcajuelo de la Sierra;Mujer;Unión Europea;1
072; Hoyo de Manzanares;Hombre;África;0
072; Hoyo de Manzanares;Hombre;América Central y del Caribe;1
072; Hoyo de Manzanares;Hombre;América del Norte;0
072; Hoyo de Manzanares;Hombre;América del Sur;4
072; Hoyo de Manzanares;Hombre;Apátridas;0
072; Hoyo de Manzanares;Hombre;Asia;0
072; Hoyo de Manzanares;Hombre;No consta;0
072; Hoyo de Manzanares;Hombre;Oceanía;0
072; Hoyo de Manzanares;Hombre;Otros países de América;0
072; Hoyo de Manzanares;Hombre;Otros países de Europa;0
072; Hoyo de Manzanares;Hombre;Unión Europea;26
072; Hoyo de Manzanares;Mujer;África;3
072; Hoyo de Manzanares;Mujer;América Central y del Caribe;1
072; Hoyo de Manzanares;Mujer;América del Norte;0
072; Hoyo de Manzanares;Mujer;América del Sur;0
072; Hoyo de Manzanares;Mujer;Apátridas;0
072; Hoyo de Manzanares;Mujer;Asia;0
072; Hoyo de Manzanares;Mujer;No consta;0
072; Hoyo de Manzanares;Mujer;Oceanía;0
072; Hoyo de Manzanares;Mujer;Otros países de América;0
072; Hoyo de Manzanares;Mujer;Otros países de Europa;1
072; Hoyo de Manzanares;Mujer;Unión Europea;20
073; Humanes de Madrid;Hombre;África;24
073; Humanes de Madrid;Hombre;América Central y del Caribe;2
